Program,Solarize CT, Date of Application,Completed,Electric Utility,County,Municipality, Zip Code,Contractor,System Owner,System Financing,System Size (kW STC),Total System Costs,Total Incentive  Approved, Estimated Annual Production  (kWh) 
EPBB,Yes,1/31/2013,5/7/2013,United Illuminating,Fairfield,Fairfield,06825,Direct Energy Solar,Does Not Apply,Other Homeowner Purchase,9.07,"$31,931.24","$11,302.00"," 10,323 "
EPBB,Yes,1/31/2013,7/18/2013,Eversource Energy,Middlesex,Durham,06422,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,6.00,"$21,000.00","$11,714.00"," 6,833 "
EPBB,Yes,1/31/2013,5/30/2013,Eversource Energy,Middlesex,Durham,06422,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,11.00,"$39,375.00","$15,960.00"," 12,527 "
EPBB,Yes,1/31/2013,6/27/2013,Eversource Energy,Middlesex,Durham,06422,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,11.00,"$39,375.00","$15,870.00"," 12,527 "
PBI,No,2/1/2013,3/25/2013,Eversource Energy,Windham,Woodstock,06281,SolarCity,SolarCity,PPA,6.24,"$31,044.00","$13,195.80"," 7,106 "
PBI,No,2/1/2013,5/31/2013,United Illuminating,Fairfield,Fairfield,06825,SolarCity,SolarCity,PPA,10.40,"$51,740.00","$16,407.90"," 11,844 "
PBI,No,2/1/2013,3/6/2013,Eversource Energy,Hartford,Berlin,06037,SolarCity,Does Not Apply,PPA,7.80,"$38,805.00","$12,264.30"," 8,883 "
PBI,No,2/1/2013,11/8/2013,United Illuminating,New Haven,Milford,06460,SolarCity,SolarCity,PPA,7.92,"$39,402.00","$14,969.70"," 9,019 "
PBI,No,2/1/2013,5/17/2013,United Illuminating,Fairfield,Stratford,06614,SolarCity,Does Not Apply,PPA,5.04,"$25,074.00","$9,528.30"," 5,740 "
PBI,No,2/1/2013,4/2/2013,United Illuminating,New Haven,East Haven,06513,SolarCity,Does Not Apply,PPA,5.39,"$26,815.25","$11,343.30"," 6,138 "
EPBB,Yes,2/1/2013,4/5/2013,United Illuminating,Fairfield,Fairfield,06825,Direct Energy Solar,Does Not Apply,Other Homeowner Purchase,9.31,"$33,035.93","$11,112.00"," 10,602 "
EPBB,Yes,2/1/2013,9/30/2013,Eversource Energy,Fairfield,Westport,06880,Encon,Does Not Apply,Other Homeowner Purchase,7.80,"$29,328.00","$11,171.00"," 8,883 "
EPBB,Yes,2/1/2013,7/15/2013,Eversource Energy,Middlesex,Durham,06422,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,5.87,"$20,527.00","$11,159.00"," 6,679 "
EPBB,Yes,2/1/2013,6/25/2013,Eversource Energy,Middlesex,Durham,06422,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,6.50,"$22,750.00","$11,308.00"," 7,402 "
EPBB,Yes,2/1/2013,6/26/2013,Eversource Energy,Fairfield,Westport,06880,Encon,Does Not Apply,Other Homeowner Purchase,6.24,"$22,838.40","$10,758.00"," 7,106 "
EPBB,Yes,2/1/2013,6/28/2013,Eversource Energy,Middlesex,Durham,06422,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,11.00,"$38,500.00","$15,315.00"," 12,527 "
